customer_id,first_name,last_name,email,phone,city,state,created_at
100001,Chatura,Brar,edugar@example.net,3154092230,Hajipur,Kerala,2026-04-27 13:30:10
100002,Ria,Venkataraman,adwetaram@example.com,7420040325,Tadepalligudem,Uttarakhand,2026-06-01 11:11:11
100003,Anjali,Oommen,tanay57@example.net,1412838061,Firozabad,Tripura,2026-06-26 12:13:11
100004,Logan,Chauhan,badamiudarsh@example.com,9715227880,Serampore,Andhra Pradesh,2026-05-08 02:32:01
100005,Saumya,Mand,kumershivansh@example.org,6741512575,Tiruppur,Mizoram,2026-01-09 12:42:19
100006,Anika,Morar,rajanmahika@example.org,1147932999,Gaya,Odisha,2026-02-08 16:23:11
100007,Sai,Wable,zashilpathak@example.net,6498962621,Mumbai,Maharashtra,2026-06-29 13:41:51
100008,Osha,Yogi,mekhala84@example.net,8707164670,Patiala,Nagaland,2026-04-10 14:24:44
100009,Urvi,Dar,cdalia@example.com,3129043255,Bidhannagar,Rajasthan,2026-05-11 03:53:57
100010,Upkaar,Kurian,chatreshnarayan@example.net,7248436744,Kirari Suleman Nagar,Nagaland,2026-03-23 01:00:38
100011,Neha,Bedi,arya43@example.com,4387758169,Rampur,Arunachal Pradesh,2026-04-22 06:17:49
100012,Jagdish,Hans,neel71@example.com,9172472201,Nandyal,Gujarat,2026-02-15 09:12:45
100013,Utkarsh,Bahri,ykhurana@example.org,2058800602,Miryalaguda,Uttar Pradesh,2026-02-04 15:32:26
100014,Upasna,Raj,chaitanya08@example.com,5332880949,Chinsurah,Mizoram,2026-02-24 13:06:19
100015,Vihaan,Kale,anshdube@example.com,9481665031,Ramagundam,Bihar,2026-06-07 20:43:51
100016,Yoshita,Badal,xsahota@example.org,7696438186,Begusarai,Rajasthan,2026-04-08 07:14:45
100017,Nathaniel,Lata,wallajanaki@example.org,9169336187,Rajahmundry,Manipur,2026-05-19 07:33:12
100018,Bhavika,Dyal,mdash@example.org,6568124012,Mau,Kerala,2026-06-26 12:56:39
100019,Hemangini,Chada,jsane@example.org,567591712,Vijayanagaram,Telangana,2026-02-14 01:39:04
100020,Naksh,Bassi,atharv00@example.net,5430792912,Erode,Himachal Pradesh,2026-01-24 19:59:14
100021,Ekaja,Solanki,yadavsiya@example.com,7149974062,Mirzapur,Punjab,2026-03-22 01:20:11
100022,Geetika,Malhotra,udarshchar@example.org,7688244844,Mahbubnagar,Rajasthan,2026-01-10 03:04:35
100023,Raghav,Oak,pbajwa@example.net,6905299216,Ambarnath,Chhattisgarh,2026-03-23 18:30:50
100024,Yochana,Sankar,iarya@example.net,9881287400,Naihati,Maharashtra,2026-05-13 19:28:38
100025,Bhavani,Kar,gautami93@example.net,6045174726,Tirupati,Sikkim,2026-01-20 23:41:57
100026,Naksh,Jayaraman,pushti50@example.org,6526775131,Sonipat,Goa,2026-05-28 01:15:28
100027,David,Purohit,oborah@example.net,8337945702,Nizamabad,Jharkhand,2026-05-18 09:06:01
100028,Adya,Prashad,gnarain@example.net,3173009025,Panvel,Madhya Pradesh,2026-03-17 02:26:02
100029,Saumya,Cherian,kpalla@example.org,5730363950,Ahmednagar,Chhattisgarh,2026-01-23 03:42:57
100030,Rushil,Bir,rudrakrish@example.net,4665671832,Miryalaguda,Assam,2026-06-12 19:53:11
100031,Jyoti,Wadhwa,rachana93@example.com,8538284855,Raichur,Nagaland,2026-04-08 11:09:47
100032,Tanmayi,Vig,chaman28@example.org,9116274116,Gandhidham,Arunachal Pradesh,2026-01-19 17:43:35
100033,Champak,Rau,prabhakarfalguni@example.net,98728657,Bhiwani,Goa,2026-05-05 15:07:56
100034,Advika,Suri,kbatta@example.net,54099369,Kochi,Rajasthan,2026-05-06 18:54:59
