customer_id,first_name,last_name,email,phone,city,state,created_at
100001,Unni,Lall,pallamitali@example.org,3186024960,Thiruvananthapuram,Kerala,2026-05-04 02:54:30
100002,Gaurika,Suri,bhavnagade@example.com,3909455782,Rajpur Sonarpur,West Bengal,2026-05-16 14:06:38
100003,Amol,Mannan,qdhingra@example.com,3078702676,Mysore,Assam,2026-02-17 09:48:17
100004,Nidra,Sharma,aayush17@example.net,1290089149,Bhiwandi,Goa,2026-02-17 09:10:18
100005,Vyanjana,Dugal,nisha08@example.com,0583108909,Sasaram,Rajasthan,2026-02-03 02:31:21
100006,Jeet,Prabhu,naksh39@example.com,8197149318,Gaya,Assam,2026-01-15 23:43:05
100007,Frado,Karnik,chandresh90@example.net,2990027253,Navi Mumbai,Telangana,2026-05-07 09:09:03
100008,Anjali,Saxena,udant84@example.com,5028376194,Bhiwandi,Sikkim,2026-04-04 00:26:52
100009,Krish,Gulati,sureshvarenya@example.org,6353104432,Nagaon,Andhra Pradesh,2026-05-15 08:37:51
100010,Yochana,Mitter,daksha57@example.org,2937782700,Indore,Meghalaya,2026-03-23 12:08:09
100011,Madhav,Goyal,imerchant@example.org,8421041958,Muzaffarpur,Nagaland,2026-06-29 05:47:45
100012,Netra,Kashyap,pthaman@example.net,5106462880,Jalandhar,Madhya Pradesh,2026-03-21 20:57:20
100013,Damini,Chandran,oommentanveer@example.com,0423136184,Raiganj,Goa,2026-01-15 03:03:48
100014,Suhani,Lall,karatripti@example.com,5717924112,Vadodara,Odisha,2026-04-07 21:06:14
100015,Gaurang,Dasgupta,yauvanipradhan@example.com,5144686130,Salem,Nagaland,2026-01-23 17:04:41
100016,Gaurangi,Raman,nitara16@example.org,4677040583,Adoni,Maharashtra,2026-01-05 03:28:53
100017,Ucchal,Bose,atwaljatin@example.org,6745374978,Tirupati,Uttar Pradesh,2026-02-14 06:33:47
100018,Luke,Ramakrishnan,deolsamesh@example.net,8316299567,Indore,Karnataka,2026-02-23 07:38:54
100019,Rudra,Modi,frado10@example.com,6899056874,Delhi,Tamil Nadu,2026-03-06 14:42:06
100020,Arya,Loke,dparekh@example.com,1153000936,Silchar,Gujarat,2026-03-29 20:01:20
100021,Amruta,Walla,chatreshmand@example.net,2964754265,Firozabad,Madhya Pradesh,2026-04-22 10:01:10
100022,Chatresh,More,aarini80@example.net,5183225076,Gorakhpur,Arunachal Pradesh,2026-03-19 14:05:30
100023,Yatan,Mohanty,prakashmugdha@example.org,7764689139,Patna,Karnataka,2026-01-12 04:54:53
